ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
735	11.524	31.486	86.781
736	403.594	333.678	964.821
737	26.296	55.074	83.613
738	20.321	52.277	156.062
739	9.431	23.273	76.806
740	58.846	113.816	242.049
741	16.697	26.899	63.737
742	15.877	39.458	158.938
743	14.117	28.626	84.884
744	105.764	137.378	399.564
745	20.13	29.831	76.675
746	40.48	26.166	141.398
747	17.618	29.798	67.959
748	40.404	58.52	278.219
749	10.598	29.688	72.821
750	22.268	26.951	142.274
751	9.057	23.998	70.345
752	115.66	126.987	598.086
753	20.057	29.648	63.202
754	24.053	30.686	137.095
755	16.305	29.469	71.528
756	58.869	57.019	237.785
757	24.324	29.985	79.727
758	39.363	32.416	148.71
759	14.386	20.554	77.836
760	125.078	97.47	406.278
761	12.728	40.366	76.749
762	20.278	39.141	145.789
763	4.81	30.941	75.755
764	54.693	47.776	215.315
765	10.515	24.235	76.191
766	31.696	45.332	161.203
767	17.907	24.026	73.35
768	5823.79	5777.32	4111.88
769	21.769	56.591	121.481
770	39.752	49.438	210.677
771	6.912	33.139	63.59
772	67.517	61.146	239.151
773	16.692	28.059	59.168
774	27.317	65.178	136.774
775	18.502	25.607	69.322
776	101.446	107.602	371.811
777	24.299	24.442	66.638
778	42.894	57.587	144.73
779	11.334	26.585	73.934
780	50.32	66.536	262.612
781	14.621	26.074	73.153
782	26.618	33.235	157.252
783	10.657	27.051	79.66
784	129.28	160.855	616.74
785	7.697	33.786	72.836
786	39.94	48.764	182.511
787	17.761	21.08	74.225
788	59.005	111.757	265.283
789	5.334	20.564	68.113
790	24.211	67.608	156.331
791	13.83	22.206	77.625
792	79.51	107.742	427.664
793	10.088	25.014	97.305
794	30.587	40.172	151.964
795	10.135	25.763	64.957
796	42.571	59.007	252.022
797	9.354	25.081	70.908
798	25.709	42.988	163.37
799	16.201	32.076	96.848
800	396.671	463.801	966.091
801	8.049	31.338	107.291
802	40.772	30.999	206.832
803	16.982	34.088	64.328
804	54.058	58.353	259.264
805	20.027	17.838	87.323
806	13.961	37.318	147.176
807	17.62	30.308	71.195
808	125.791	126.744	336.558
809	10.121	25.849	66.075
810	23.942	36.001	192.109
811	10.019	48.255	107.443
812	56.06	70.914	236.766
813	13.177	23.424	65.264
814	14.671	33.735	140.441
815	11.071	29.837	86.729
816	140.693	172.186	632.805
817	11.517	34.309	67.703
818	17.56	40.525	160.28
819	16.507	40.457	72.369
820	48.651	64.355	262.685
821	16.024	23.884	78.755
822	24.332	26.685	152.976
823	7.815	30.7	80.281
824	95.878	112.736	467.421
825	18.513	34.945	79.503
826	21.896	31.888	164.69
827	10.413	26.239	73.371
828	45.36	64.291	246.322
829	10.913	26.91	76.525
830	24.076	42.955	162.238
831	8.819	26.018	67.086
832	1191.41	1087.78	1842.12
833	34.125	40.635	223.214
834	45.318	66.784	193.506
835	10.263	19.005	72.689
836	64.044	70.206	240.589
837	10.727	27.372	72.593
838	25.698	40.658	199.379
839	13.133	31.161	66.75
840	95.061	135.354	510.547
841	7.82	39.017	68.626
842	27.149	30.938	141.482
843	9.262	28.304	77.008
844	39.823	64.682	395.843
845	13.372	23.959	81.989
846	29.412	31.82	153.081
847	10.093	24.925	76.024
848	144.628	202.203	679.543
849	25.624	25.359	77.694
850	14.658	35.121	208.125
851	9.168	26.354	76.301
852	51.393	73.834	248.302
853	21.683	28.93	64.01
854	23.388	33.391	137.382
855	9.26	32.593	65.288
856	74.753	149.974	399.616
857	19.324	24.474	68.182
858	16.761	42.049	182.819
859	8.815	24.258	77.846
860	53.497	80.696	313.169
861	28.531	24.436	115.995
862	17.858	46.48	237.629
863	15.227	42.815	74.996
864	377.648	406.782	1173.9
865	9.391	21.657	112.138
866	24.023	35.425	208.244
867	16.05	25.402	64.66
868	45.791	59.662	239.748
869	12.869	30.03	70.795
870	23.498	42.808	145.764
871	34.566	30.496	58.991
872	73.026	110.657	391.855
873	17.957	29.701	76.214
874	23.399	41.95	128.965
875	11.645	24.68	68.926
876	61.978	79.275	245.022
877	14.035	49.025	103.206
878	19.478	34.158	159.987
879	5.891	21.653	65.38
880	151.721	198.985	651.559
881	9.263	35.586	79.389
882	36.864	29.707	130.021
883	5.447	24.584	61.472
884	46.355	85.449	235.067
885	9.474	54.384	67.156
886	20.736	30.628	200.589
887	11.544	27.633	66.121
888	86.04	100.029	353.601
889	15.234	30.056	71.925
890	11.748	33.952	154.978
891	11.714	25.777	100.162
892	47.879	61.324	241.417
893	19.138	29.251	77.46
894	32.115	51.597	131.794
895	12.164	49.99	77.088
896	2724.87	2795.15	2729.73
897	21.307	61.478	122.866
898	39.368	66.366	207.63
899	16.808	34.617	84.746
900	69.827	77.299	267.803
901	8.395	34.694	80.713
902	27.818	25.458	171.425
903	4.438	29.324	72.371
904	97.875	118.923	381.827
905	6.917	28.819	83.493
906	24.012	39.971	150.987
907	6.36	31.196	77.477
908	48.678	75.556	239.732
909	7.48	37.04	69.365
910	21.339	32.734	166.529
911	8.589	30.883	81.063
912	156.738	197.283	645.907
913	10.89	30.132	73.005
914	21.594	55.465	149.427
915	7.107	22.789	84.344
916	49.131	81.557	308.319
917	15.5	40.084	71.113
918	34.177	33.256	150.783
919	13.473	20.898	74.792
920	93.493	115.833	461.595
921	8.784	20.47	89.812
922	45.639	45.199	157.112
923	11.365	25.043	66.469
924	40.318	58	304.938
925	4.555	28.553	66.292
926	27.689	23.149	170.213
927	11.744	24.425	80.715
928	639.077	474.155	1060.53
929	13.404	31.917	125.553
930	24.59	36.135	207.389
931	18.216	21.786	65.1
932	65.358	56.765	209.067
933	4.312	27.906	68.686
934	26.429	38.186	193.105
935	10.135	38.733	63.341
936	72.215	99.661	376.163
937	13.163	31.481	78.774
938	25.192	41.884	139.48
939	14.627	35.504	81.975
940	58.351	71.634	267.494
941	12.95	35.362	79.696
942	39.813	46.246	161.358
943	10.023	38.042	97.171
944	155.851	131.94	672.617
945	15.745	34.755	65.273
946	16.861	30.807	150.148
947	6.235	25.933	63.338
948	34.215	52.206	223.923
949	10.211	28.808	82.068
950	22.223	36.294	165.681
951	5.099	27.521	71.712
952	73.501	116.083	315.861
953	9.177	37.473	64.074
954	15.088	37.14	137.019
955	11.163	31.951	76.014
956	41.907	70.378	247.947
957	7.728	40.49	75.762
958	25.924	47.339	170.713
959	11.748	27.518	73.105
960	1184.5	1098.12	1717.86
961	7.034	24.486	102.089
962	43.206	25.583	157.249
963	10.139	23.414	113.3
964	52.08	84.337	262.08
965	18.87	24.564	72.152
966	17.05	37.219	161.782
967	10.595	27.431	78.5
968	105.46	87.112	406.355
969	14.67	25.43	82.247
970	27.069	32.329	133.625
971	17.521	19.258	67.949
972	46.258	77.956	228.029
973	27.187	22.395	72.271
974	22.87	38.873	136.407
975	24.28	24.066	67.663
976	157.751	203.052	635.333
977	10.11	37.217	85.896
978	21.737	65.309	174.061
979	8.489	40.472	77.619
980	42.841	56.513	230.424
981	21.594	21.736	77.196
982	13.095	26.291	146.904
983	17.198	29.275	69.069
984	89.188	114.006	381.625
985	6.627	28.329	75.699
986	23.791	87.785	138.522
987	5.847	39.074	70.897
988	57.739	77.991	256.491
989	8.925	31.002	86.003
